id,predinctK,pct_65,pct_18_29,pct_male,pct_black,pct_american_indian,pct_hispanic,pct_asian,pct_bach,pct_smoking,median_income,population_density,pct_yes,pct_65_Z_SCORE,pct_18_29_Z_SCORE,pct_male_Z_SCORE,pct_black_Z_SCORE,pct_american_indian_Z_SCORE,pct_hispanic_Z_SCORE,pct_asian_Z_SCORE,pct_bach_Z_SCORE,pct_smoking_Z_SCORE,median_income_Z_SCORE,population_density_Z_SCORE,pct_yes_Z_SCORE,Shape_Length,Shape_Area,longitude,latitude
11,ALA19,0.088594654620635,0.545566929788763,0.454156535337689,0.168377200679189,0.000040468976365,0.127713187751711,0.051639582614600,0.226242737387811,0.134784498239323,35588.638932536370703,1268.953429317545442,0.843780135004822,-1.025897653004005,5.617655464023559,-0.932189304660803,0.132998476767747,-0.205573177574030,-0.542271607742407,0.855702618345087,-0.190976145460142,-0.151852908296590,-1.427547515507785,0.039697310780756,2.669768912611050,0.075543605827873,0.000307300350987,-82.320765112924860,29.643117052836150
12,ALA2,0.182418040723042,0.113364041816287,0.505376695610398,0.253715947170747,0.000000000000000,0.069473624186537,0.011439218916902,0.187048447370319,0.166918201421338,63397.967105004128825,28.964429581613029,0.540654699049630,-0.334190526348321,-0.306357427297956,0.333346737639603,0.616102965892247,-0.212725687414665,-0.798442025518139,-0.495660839344693,-0.488867700788416,0.593395260395539,-0.508734363196214,-0.837430457691739,-0.228227912523545,0.748135546206870,0.014454675365180,-82.360683452457337,29.832436846454431
13,ALA20,0.162872030894118,0.078916484154530,0.489070854979011,0.120962706006898,0.000000017473986,0.135346943190196,0.014880095801161,0.242969751911839,0.145757269595326,75451.384801712687477,28.067836423219010,0.517580340264650,-0.478292278139622,-0.778514789827633,-0.069534255101472,-0.135416002791308,-0.212722599052467,-0.508694049804735,-0.379993346414447,-0.063844454330197,0.102628740214914,-0.110492498403329,-0.838064678444034,-0.448827738764368,0.499452860046471,0.006665675502093,-82.563322750137090,29.863842548548980
14,ALA21,0.144282147801395,0.211088774227717,0.471363570571932,0.171658660400093,0.000245657008726,0.120711128709845,0.022405950623676,0.344270441747006,0.120052331372482,76395.581132366627571,1307.786264888074584,0.713034691815426,-0.615345044545831,1.033112045759154,-0.507041801136287,0.151574891201098,-0.169308128332312,-0.573070608975270,-0.127006451283262,0.706079430943835,-0.493522846435733,-0.079296491020884,0.067166391889291,1.419791727193678,0.075550062754550,0.000330370275005,-82.358595084607302,29.695856695754216
15,ALA22,0.295152910665420,0.192359318831509,0.449518173255886,0.159834909354987,0.000006683416771,0.103288969112583,0.057283793172900,0.425649792684906,0.107717151821275,84353.681835343610146,782.014312564362740,0.674271229404309,0.496940348385097,0.776395725016680,-1.046792897474798,0.084640380875869,-0.211544456543040,-0.649703084038233,1.045436720089813,1.324593541332799,-0.779601606762707,0.183637138585975,-0.304747535867596,1.049197980599458,0.161246213716875,0.000499281971364,-82.403881818690351,29.677158897207615
16,ALA23,0.070369962402166,0.593308242399531,0.507902957792287,0.164532034992365,0.001270297399695,0.201000662439243,0.072279047643360,0.287674138888168,0.148900996668295,34912.182852288518916,1394.378106962082484,0.783886771910724,-1.160258072216141,6.272024417182458,0.395765047665573,0.111230910672597,0.011787395641650,-0.219911997553640,1.549512730011570,0.275925939786702,0.175538383735538,-1.449897452897075,0.128418636241839,2.097165113967817,0.129450055640107,0.000341671152826,-82.351272057424765,29.626964379285397
17,ALA24,0.315791944211828,0.082757200884231,0.492998351495890,0.064177988513557,0.000000514770792,0.166501505122813,0.003534988512885,0.475187014234382,0.112990112744249,77295.944712810567580,713.520105460429818,0.713220870929776,0.649100350111680,-0.725871792633885,0.027505433405069,-0.456875516347832,-0.212634706532909,-0.371658731245601,-0.761367095374444,1.701095321756139,-0.657310551506090,-0.049548706592447,-0.353198103609052,1.421571671791839,0.081705963594508,0.000361425794127,-82.388499105564847,29.666011919851670
18,ALA25,0.047767326444640,0.621423462475880,0.513548693795406,0.084083996321926,0.000695458837459,0.137625900297493,0.026824554612647,0.208835518403096,0.153826775455245,31178.128456675392954,2395.217902515134938,0.866297468354430,-1.326894611596202,6.657387242858992,0.535258605655603,-0.344187175727292,-0.089809897951484,-0.498669912284953,0.021528024912047,-0.323277649964558,0.289777554974647,-1.573269663432276,0.836380059011611,2.885043359481651,0.062158898161968,0.000186345195206,-82.331356006674056,29.659873403656594
19,ALA26,0.082491883872663,0.633402096763730,0.494747850817564,0.062679701881838,0.000000447073275,0.149829833601750,0.052849859680719,0.362087671106436,0.111003328927614,35062.928669558961701,1244.607051126620036,0.749788672865596,-1.070889953901252,6.821573059095759,0.070731663775498,-0.465357349366675,-0.212646671430382,-0.444990136859436,0.896386931878467,0.841497170700121,-0.703388247330535,-1.444916849313089,0.022475477056794,1.771174052001928,0.090082372087574,0.000299867140026,-82.363565156071218,29.658323520011120
20,ALA27,0.149758114990747,0.216189834670514,0.476696122801004,0.107847375415045,0.000000000000000,0.052614786136965,0.013817258706507,0.479071111689516,0.110242166631657,64755.489793717810244,1312.116436252964604,0.848096192384770,-0.574973814220874,1.103030014064039,-0.375286316432434,-0.209662172857832,-0.212725687414665,-0.872596694990196,-0.415721361762607,1.730615944056995,-0.721041202046847,-0.463882157734222,0.070229413857387,2.711032096430559,0.068517412025019,0.000264357670878,-82.315538311681138,29.659859390517745
